Cer,[M+C2H3O2]-,NL_C2H4CO2,M-H-H2CO,NL_H2O&SN1,NL_H2O&SN2amide,SN2amide
Cer(d22:1/18:4)+C2H3O2,672.5572,612.5361,604.6038,300.2333,319.3004,274.2176
Cer(d22:1/19:0)+C2H3O2,694.6355,634.6144,618.6194,322.3116,319.3004,296.2959
Cer(d22:1/20:0)+C2H3O2,708.6511,648.63,616.6038,336.3272,319.3004,310.3115
Cer(d22:1/20:1)+C2H3O2,706.6355,646.6144,614.5881,334.3116,319.3004,308.2959
Cer(d22:1/20:2)+C2H3O2,704.6198,644.5987,612.5725,332.2959,319.3004,306.2802
Cer(d22:1/20:3)+C2H3O2,702.6042,642.5831,610.5568,330.2803,319.3004,304.2646
Cer(d22:1/20:4)+C2H3O2,700.5885,640.5674,608.5412,328.2646,319.3004,302.2489
Cer(d22:1/20:5)+C2H3O2,698.5729,638.5518,632.6351,326.249,319.3004,300.2333
Cer(d22:1/21:0)+C2H3O2,722.6668,662.6457,646.6507,350.3429,319.3004,324.3272
Cer(d22:1/22:0)+C2H3O2,736.6824,676.6613,644.6351,364.3585,319.3004,338.3428
Cer(d22:1/22:1)+C2H3O2,734.6668,674.6457,642.6194,362.3429,319.3004,336.3272
Cer(d22:1/22:2)+C2H3O2,732.6511,672.63,640.6038,360.3272,319.3004,334.3115
Cer(d22:1/22:3)+C2H3O2,730.6355,670.6144,638.5881,358.3116,319.3004,332.2959
Cer(d22:1/22:4)+C2H3O2,728.6198,668.5987,636.5725,356.2959,319.3004,330.2802
Cer(d22:1/22:5)+C2H3O2,726.6042,666.5831,634.5568,354.2803,319.3004,328.2646
Cer(d22:1/22:6)+C2H3O2,724.5885,664.5674,660.6664,352.2646,319.3004,326.2489
Cer(d22:1/23:0)+C2H3O2,750.6981,690.677,674.682,378.3742,319.3004,352.3585
Cer(d22:1/24:0)+C2H3O2,764.7137,704.6926,672.6664,392.3898,319.3004,366.3741
Cer(d22:1/24:1)+C2H3O2,762.6981,702.677,688.6977,390.3742,319.3004,364.3585
Cer(d22:1/25:0)+C2H3O2,778.7294,718.7083,702.7133,406.4055,319.3004,380.3898
Cer(d22:1/26:0)+C2H3O2,792.745,732.7239,450.4316,420.4211,319.3004,394.4054
Cer(d22:1/8:0)+C2H3O2,540.4633,480.4422,476.4472,168.1394,319.3004,142.1237
Cer(d22:2/10:0)+C2H3O2,566.4789,506.4578,504.4785,196.1707,317.2847,170.155
Cer(d22:2/12:0)+C2H3O2,594.5102,534.4891,518.4942,224.202,317.2847,198.1863
Cer(d22:2/13:0)+C2H3O2,608.5259,548.5048,532.5098,238.2177,317.2847,212.202
Cer(d22:2/14:0)+C2H3O2,622.5415,562.5204,530.4942,252.2333,317.2847,226.2176
Cer(d22:2/14:1)+C2H3O2,620.5259,560.5048,546.5255,250.2177,317.2847,224.202
Cer(d22:2/15:0)+C2H3O2,636.5572,576.5361,544.5098,266.249,317.2847,240.2333
Cer(d22:2/15:1)+C2H3O2,634.5415,574.5204,560.5411,264.2333,317.2847,238.2176
Cer(d22:2/16:0)+C2H3O2,650.5728,590.5517,558.5255,280.2646,317.2847,254.2489
Cer(d22:2/16:1)+C2H3O2,648.5572,588.5361,574.5568,278.249,317.2847,252.2333
Cer(d22:2/17:0)+C2H3O2,664.5885,604.5674,572.5411,294.2803,317.2847,268.2646
Cer(d22:2/17:1)+C2H3O2,662.5728,602.5517,570.5255,292.2646,317.2847,266.2489
Cer(d22:2/17:2)+C2H3O2,660.5572,600.5361,588.5724,290.249,317.2847,264.2333
Cer(d22:2/18:0)+C2H3O2,678.6041,618.583,586.5568,308.2959,317.2847,282.2802
Cer(d22:2/18:1)+C2H3O2,676.5885,616.5674,584.5411,306.2803,317.2847,280.2646
Cer(d22:2/18:2)+C2H3O2,674.5728,614.5517,582.5255,304.2646,317.2847,278.2489
Cer(d22:2/18:3)+C2H3O2,672.5572,612.5361,580.5098,302.249,317.2847,276.2333
Cer(d22:2/18:4)+C2H3O2,670.5415,610.5204,602.5881,300.2333,317.2847,274.2176
Cer(d22:2/19:0)+C2H3O2,692.6198,632.5987,616.6037,322.3116,317.2847,296.2959
Cer(d22:2/20:0)+C2H3O2,706.6354,646.6143,614.5881,336.3272,317.2847,310.3115
Cer(d22:2/20:1)+C2H3O2,704.6198,644.5987,612.5724,334.3116,317.2847,308.2959
Cer(d22:2/20:2)+C2H3O2,702.6041,642.583,610.5568,332.2959,317.2847,306.2802
Cer(d22:2/20:3)+C2H3O2,700.5885,640.5674,608.5411,330.2803,317.2847,304.2646
Cer(d22:2/20:4)+C2H3O2,698.5728,638.5517,606.5255,328.2646,317.2847,302.2489
Cer(d22:2/20:5)+C2H3O2,696.5572,636.5361,630.6194,326.249,317.2847,300.2333
Cer(d22:2/21:0)+C2H3O2,720.6511,660.63,644.635,350.3429,317.2847,324.3272
Cer(d22:2/22:0)+C2H3O2,734.6667,674.6456,642.6194,364.3585,317.2847,338.3428
Cer(d22:2/22:1)+C2H3O2,732.6511,672.63,640.6037,362.3429,317.2847,336.3272
Cer(d22:2/22:2)+C2H3O2,730.6354,670.6143,638.5881,360.3272,317.2847,334.3115
Cer(d22:2/22:3)+C2H3O2,728.6198,668.5987,636.5724,358.3116,317.2847,332.2959
Cer(d22:2/22:4)+C2H3O2,726.6041,666.583,634.5568,356.2959,317.2847,330.2802
Cer(d22:2/22:5)+C2H3O2,724.5885,664.5674,632.5411,354.2803,317.2847,328.2646
Cer(d22:2/22:6)+C2H3O2,722.5728,662.5517,658.6507,352.2646,317.2847,326.2489
Cer(d22:2/23:0)+C2H3O2,748.6824,688.6613,672.6663,378.3742,317.2847,352.3585
Cer(d22:2/24:0)+C2H3O2,762.698,702.6769,670.6507,392.3898,317.2847,366.3741
Cer(d22:2/24:1)+C2H3O2,760.6824,700.6613,686.682,390.3742,317.2847,364.3585
Cer(d22:2/25:0)+C2H3O2,776.7137,716.6926,700.6976,406.4055,317.2847,380.3898
Cer(d22:2/26:0)+C2H3O2,790.7293,730.7082,448.4159,420.4211,317.2847,394.4054
Cer(d22:2/8:0)+C2H3O2,538.4476,478.4265,474.4316,168.1394,317.2847,142.1237
Cer(d22:3/10:0)+C2H3O2,564.4633,504.4422,502.4629,196.1707,315.2691,170.155
Cer(d22:3/12:0)+C2H3O2,592.4946,532.4735,516.4786,224.202,315.2691,198.1863
Cer(d22:3/13:0)+C2H3O2,606.5103,546.4892,530.4942,238.2177,315.2691,212.202
Cer(d22:3/14:0)+C2H3O2,620.5259,560.5048,528.4786,252.2333,315.2691,226.2176
Cer(d22:3/14:1)+C2H3O2,618.5103,558.4892,544.5099,250.2177,315.2691,224.202
Cer(d22:3/15:0)+C2H3O2,634.5416,574.5205,542.4942,266.249,315.2691,240.2333
Cer(d22:3/15:1)+C2H3O2,632.5259,572.5048,558.5255,264.2333,315.2691,238.2176
Cer(d22:3/16:0)+C2H3O2,648.5572,588.5361,556.5099,280.2646,315.2691,254.2489
Cer(d22:3/16:1)+C2H3O2,646.5416,586.5205,572.5412,278.249,315.2691,252.2333
Cer(d22:3/17:0)+C2H3O2,662.5729,602.5518,570.5255,294.2803,315.2691,268.2646
Cer(d22:3/17:1)+C2H3O2,660.5572,600.5361,568.5099,292.2646,315.2691,266.2489
Cer(d22:3/17:2)+C2H3O2,658.5416,598.5205,586.5568,290.249,315.2691,264.2333
Cer(d22:3/18:0)+C2H3O2,676.5885,616.5674,584.5412,308.2959,315.2691,282.2802
Cer(d22:3/18:1)+C2H3O2,674.5729,614.5518,582.5255,306.2803,315.2691,280.2646
Cer(d22:3/18:2)+C2H3O2,672.5572,612.5361,580.5099,304.2646,315.2691,278.2489
Cer(d22:3/18:3)+C2H3O2,670.5416,610.5205,578.4942,302.249,315.2691,276.2333
Cer(d22:3/18:4)+C2H3O2,668.5259,608.5048,600.5725,300.2333,315.2691,274.2176
Cer(d22:3/19:0)+C2H3O2,690.6042,630.5831,614.5881,322.3116,315.2691,296.2959
Cer(d22:3/20:0)+C2H3O2,704.6198,644.5987,612.5725,336.3272,315.2691,310.3115
Cer(d22:3/20:1)+C2H3O2,702.6042,642.5831,610.5568,334.3116,315.2691,308.2959
Cer(d22:3/20:2)+C2H3O2,700.5885,640.5674,608.5412,332.2959,315.2691,306.2802
Cer(d22:3/20:3)+C2H3O2,698.5729,638.5518,606.5255,330.2803,315.2691,304.2646
Cer(d22:3/20:4)+C2H3O2,696.5572,636.5361,604.5099,328.2646,315.2691,302.2489
Cer(d22:3/20:5)+C2H3O2,694.5416,634.5205,628.6038,326.249,315.2691,300.2333
Cer(d22:3/21:0)+C2H3O2,718.6355,658.6144,642.6194,350.3429,315.2691,324.3272
Cer(d22:3/22:0)+C2H3O2,732.6511,672.63,640.6038,364.3585,315.2691,338.3428
Cer(d22:3/22:1)+C2H3O2,730.6355,670.6144,638.5881,362.3429,315.2691,336.3272
Cer(d22:3/22:2)+C2H3O2,728.6198,668.5987,636.5725,360.3272,315.2691,334.3115
Cer(d22:3/22:3)+C2H3O2,726.6042,666.5831,634.5568,358.3116,315.2691,332.2959
Cer(d22:3/22:4)+C2H3O2,724.5885,664.5674,632.5412,356.2959,315.2691,330.2802
Cer(d22:3/22:5)+C2H3O2,722.5729,662.5518,630.5255,354.2803,315.2691,328.2646
Cer(d22:3/22:6)+C2H3O2,720.5572,660.5361,656.6351,352.2646,315.2691,326.2489
Cer(d22:3/23:0)+C2H3O2,746.6668,686.6457,670.6507,378.3742,315.2691,352.3585
Cer(d22:3/24:0)+C2H3O2,760.6824,700.6613,668.6351,392.3898,315.2691,366.3741
Cer(d22:3/24:1)+C2H3O2,758.6668,698.6457,684.6664,390.3742,315.2691,364.3585
Cer(d22:3/25:0)+C2H3O2,774.6981,714.677,698.682,406.4055,315.2691,380.3898
Cer(d22:3/26:0)+C2H3O2,788.7137,728.6926,446.4003,420.4211,315.2691,394.4054
Cer(d22:3/8:0)+C2H3O2,536.432,476.4109,472.4159,168.1394,315.2691,142.1237
Cer(d22:4/10:0)+C2H3O2,562.4476,502.4265,500.4472,196.1707,313.2534,170.155
Cer(d22:4/12:0)+C2H3O2,590.4789,530.4578,514.4629,224.202,313.2534,198.1863
Cer(d22:4/13:0)+C2H3O2,604.4946,544.4735,528.4785,238.2177,313.2534,212.202
Cer(d22:4/14:0)+C2H3O2,618.5102,558.4891,526.4629,252.2333,313.2534,226.2176
Cer(d22:4/14:1)+C2H3O2,616.4946,556.4735,542.4942,250.2177,313.2534,224.202
Cer(d22:4/15:0)+C2H3O2,632.5259,572.5048,540.4785,266.249,313.2534,240.2333
Cer(d22:4/15:1)+C2H3O2,630.5102,570.4891,556.5098,264.2333,313.2534,238.2176
Cer(d22:4/16:0)+C2H3O2,646.5415,586.5204,554.4942,280.2646,313.2534,254.2489
Cer(d22:4/16:1)+C2H3O2,644.5259,584.5048,570.5255,278.249,313.2534,252.2333
Cer(d22:4/17:0)+C2H3O2,660.5572,600.5361,568.5098,294.2803,313.2534,268.2646
Cer(d22:4/17:1)+C2H3O2,658.5415,598.5204,566.4942,292.2646,313.2534,266.2489
Cer(d22:4/17:2)+C2H3O2,656.5259,596.5048,584.5411,290.249,313.2534,264.2333
Cer(d22:4/18:0)+C2H3O2,674.5728,614.5517,582.5255,308.2959,313.2534,282.2802
Cer(d22:4/18:1)+C2H3O2,672.5572,612.5361,580.5098,306.2803,313.2534,280.2646
Cer(d22:4/18:2)+C2H3O2,670.5415,610.5204,578.4942,304.2646,313.2534,278.2489
Cer(d22:4/18:3)+C2H3O2,668.5259,608.5048,576.4785,302.249,313.2534,276.2333
Cer(d22:4/18:4)+C2H3O2,666.5102,606.4891,598.5568,300.2333,313.2534,274.2176
Cer(d22:4/19:0)+C2H3O2,688.5885,628.5674,612.5724,322.3116,313.2534,296.2959
Cer(d22:4/20:0)+C2H3O2,702.6041,642.583,610.5568,336.3272,313.2534,310.3115
Cer(d22:4/20:1)+C2H3O2,700.5885,640.5674,608.5411,334.3116,313.2534,308.2959
Cer(d22:4/20:2)+C2H3O2,698.5728,638.5517,606.5255,332.2959,313.2534,306.2802
Cer(d22:4/20:3)+C2H3O2,696.5572,636.5361,604.5098,330.2803,313.2534,304.2646
Cer(d22:4/20:4)+C2H3O2,694.5415,634.5204,602.4942,328.2646,313.2534,302.2489
Cer(d22:4/20:5)+C2H3O2,692.5259,632.5048,626.5881,326.249,313.2534,300.2333
Cer(d22:4/21:0)+C2H3O2,716.6198,656.5987,640.6037,350.3429,313.2534,324.3272
Cer(d22:4/22:0)+C2H3O2,730.6354,670.6143,638.5881,364.3585,313.2534,338.3428
Cer(d22:4/22:1)+C2H3O2,728.6198,668.5987,636.5724,362.3429,313.2534,336.3272
Cer(d22:4/22:2)+C2H3O2,726.6041,666.583,634.5568,360.3272,313.2534,334.3115
Cer(d22:4/22:3)+C2H3O2,724.5885,664.5674,632.5411,358.3116,313.2534,332.2959
Cer(d22:4/22:4)+C2H3O2,722.5728,662.5517,630.5255,356.2959,313.2534,330.2802
Cer(d22:4/22:5)+C2H3O2,720.5572,660.5361,628.5098,354.2803,313.2534,328.2646
Cer(d22:4/22:6)+C2H3O2,718.5415,658.5204,654.6194,352.2646,313.2534,326.2489
Cer(d22:4/23:0)+C2H3O2,744.6511,684.63,668.635,378.3742,313.2534,352.3585
Cer(d22:4/24:0)+C2H3O2,758.6667,698.6456,666.6194,392.3898,313.2534,366.3741
Cer(d22:4/24:1)+C2H3O2,756.6511,696.63,682.6507,390.3742,313.2534,364.3585
Cer(d22:4/25:0)+C2H3O2,772.6824,712.6613,696.6663,406.4055,313.2534,380.3898
Cer(d22:4/26:0)+C2H3O2,786.698,726.6769,444.3846,420.4211,313.2534,394.4054
Cer(d22:4/8:0)+C2H3O2,534.4163,474.3952,470.4003,168.1394,313.2534,142.1237
Cer(d22:5/10:0)+C2H3O2,560.432,500.4109,498.4316,196.1707,311.2378,170.155
Cer(d22:5/12:0)+C2H3O2,588.4633,528.4422,512.4473,224.202,311.2378,198.1863
Cer(d22:5/13:0)+C2H3O2,602.479,542.4579,526.4629,238.2177,311.2378,212.202
Cer(d22:5/14:0)+C2H3O2,616.4946,556.4735,524.4473,252.2333,311.2378,226.2176
Cer(d22:5/14:1)+C2H3O2,614.479,554.4579,540.4786,250.2177,311.2378,224.202
Cer(d22:5/15:0)+C2H3O2,630.5103,570.4892,538.4629,266.249,311.2378,240.2333
Cer(d22:5/15:1)+C2H3O2,628.4946,568.4735,554.4942,264.2333,311.2378,238.2176
Cer(d22:5/16:0)+C2H3O2,644.5259,584.5048,552.4786,280.2646,311.2378,254.2489
Cer(d22:5/16:1)+C2H3O2,642.5103,582.4892,568.5099,278.249,311.2378,252.2333
Cer(d22:5/17:0)+C2H3O2,658.5416,598.5205,566.4942,294.2803,311.2378,268.2646
Cer(d22:5/17:1)+C2H3O2,656.5259,596.5048,564.4786,292.2646,311.2378,266.2489
Cer(d22:5/17:2)+C2H3O2,654.5103,594.4892,582.5255,290.249,311.2378,264.2333
Cer(d22:5/18:0)+C2H3O2,672.5572,612.5361,580.5099,308.2959,311.2378,282.2802
Cer(d22:5/18:1)+C2H3O2,670.5416,610.5205,578.4942,306.2803,311.2378,280.2646
Cer(d22:5/18:2)+C2H3O2,668.5259,608.5048,576.4786,304.2646,311.2378,278.2489
Cer(d22:5/18:3)+C2H3O2,666.5103,606.4892,574.4629,302.249,311.2378,276.2333
Cer(d22:5/18:4)+C2H3O2,664.4946,604.4735,596.5412,300.2333,311.2378,274.2176
Cer(d22:5/19:0)+C2H3O2,686.5729,626.5518,610.5568,322.3116,311.2378,296.2959
Cer(d22:5/20:0)+C2H3O2,700.5885,640.5674,608.5412,336.3272,311.2378,310.3115
Cer(d22:5/20:1)+C2H3O2,698.5729,638.5518,606.5255,334.3116,311.2378,308.2959
Cer(d22:5/20:2)+C2H3O2,696.5572,636.5361,604.5099,332.2959,311.2378,306.2802
Cer(d22:5/20:3)+C2H3O2,694.5416,634.5205,602.4942,330.2803,311.2378,304.2646
Cer(d22:5/20:4)+C2H3O2,692.5259,632.5048,600.4786,328.2646,311.2378,302.2489
Cer(d22:5/20:5)+C2H3O2,690.5103,630.4892,624.5725,326.249,311.2378,300.2333
Cer(d22:5/21:0)+C2H3O2,714.6042,654.5831,638.5881,350.3429,311.2378,324.3272
Cer(d22:5/22:0)+C2H3O2,728.6198,668.5987,636.5725,364.3585,311.2378,338.3428
Cer(d22:5/22:1)+C2H3O2,726.6042,666.5831,634.5568,362.3429,311.2378,336.3272
Cer(d22:5/22:2)+C2H3O2,724.5885,664.5674,632.5412,360.3272,311.2378,334.3115
Cer(d22:5/22:3)+C2H3O2,722.5729,662.5518,630.5255,358.3116,311.2378,332.2959
Cer(d22:5/22:4)+C2H3O2,720.5572,660.5361,628.5099,356.2959,311.2378,330.2802
Cer(d22:5/22:5)+C2H3O2,718.5416,658.5205,626.4942,354.2803,311.2378,328.2646
Cer(d22:5/22:6)+C2H3O2,716.5259,656.5048,652.6038,352.2646,311.2378,326.2489
Cer(d22:5/23:0)+C2H3O2,742.6355,682.6144,666.6194,378.3742,311.2378,352.3585
Cer(d22:5/24:0)+C2H3O2,756.6511,696.63,664.6038,392.3898,311.2378,366.3741
Cer(d22:5/24:1)+C2H3O2,754.6355,694.6144,680.6351,390.3742,311.2378,364.3585
Cer(d22:5/25:0)+C2H3O2,770.6668,710.6457,694.6507,406.4055,311.2378,380.3898
Cer(d22:5/26:0)+C2H3O2,784.6824,724.6613,442.369,420.4211,311.2378,394.4054
Cer(d22:5/8:0)+C2H3O2,532.4007,472.3796,468.3846,168.1394,311.2378,142.1237
Cer(d22:6/10:0)+C2H3O2,558.4163,498.3952,496.4159,196.1707,309.2221,170.155
Cer(d22:6/12:0)+C2H3O2,586.4476,526.4265,510.4316,224.202,309.2221,198.1863
Cer(d22:6/13:0)+C2H3O2,600.4633,540.4422,524.4472,238.2177,309.2221,212.202
Cer(d22:6/14:0)+C2H3O2,614.4789,554.4578,522.4316,252.2333,309.2221,226.2176
Cer(d22:6/14:1)+C2H3O2,612.4633,552.4422,538.4629,250.2177,309.2221,224.202
Cer(d22:6/15:0)+C2H3O2,628.4946,568.4735,536.4472,266.249,309.2221,240.2333
Cer(d22:6/15:1)+C2H3O2,626.4789,566.4578,552.4785,264.2333,309.2221,238.2176
Cer(d22:6/16:0)+C2H3O2,642.5102,582.4891,550.4629,280.2646,309.2221,254.2489
Cer(d22:6/16:1)+C2H3O2,640.4946,580.4735,566.4942,278.249,309.2221,252.2333
Cer(d22:6/17:0)+C2H3O2,656.5259,596.5048,564.4785,294.2803,309.2221,268.2646
Cer(d22:6/17:1)+C2H3O2,654.5102,594.4891,562.4629,292.2646,309.2221,266.2489
Cer(d22:6/17:2)+C2H3O2,652.4946,592.4735,580.5098,290.249,309.2221,264.2333
Cer(d22:6/18:0)+C2H3O2,670.5415,610.5204,578.4942,308.2959,309.2221,282.2802
Cer(d22:6/18:1)+C2H3O2,668.5259,608.5048,576.4785,306.2803,309.2221,280.2646
Cer(d22:6/18:2)+C2H3O2,666.5102,606.4891,574.4629,304.2646,309.2221,278.2489
Cer(d22:6/18:3)+C2H3O2,664.4946,604.4735,572.4472,302.249,309.2221,276.2333
Cer(d22:6/18:4)+C2H3O2,662.4789,602.4578,594.5255,300.2333,309.2221,274.2176
Cer(d22:6/19:0)+C2H3O2,684.5572,624.5361,608.5411,322.3116,309.2221,296.2959
Cer(d22:6/20:0)+C2H3O2,698.5728,638.5517,606.5255,336.3272,309.2221,310.3115
Cer(d22:6/20:1)+C2H3O2,696.5572,636.5361,604.5098,334.3116,309.2221,308.2959
Cer(d22:6/20:2)+C2H3O2,694.5415,634.5204,602.4942,332.2959,309.2221,306.2802
Cer(d22:6/20:3)+C2H3O2,692.5259,632.5048,600.4785,330.2803,309.2221,304.2646
Cer(d22:6/20:4)+C2H3O2,690.5102,630.4891,598.4629,328.2646,309.2221,302.2489
Cer(d22:6/20:5)+C2H3O2,688.4946,628.4735,622.5568,326.249,309.2221,300.2333
Cer(d22:6/21:0)+C2H3O2,712.5885,652.5674,636.5724,350.3429,309.2221,324.3272
Cer(d22:6/22:0)+C2H3O2,726.6041,666.583,634.5568,364.3585,309.2221,338.3428
Cer(d22:6/22:1)+C2H3O2,724.5885,664.5674,632.5411,362.3429,309.2221,336.3272
Cer(d22:6/22:2)+C2H3O2,722.5728,662.5517,630.5255,360.3272,309.2221,334.3115
Cer(d22:6/22:3)+C2H3O2,720.5572,660.5361,628.5098,358.3116,309.2221,332.2959
Cer(d22:6/22:4)+C2H3O2,718.5415,658.5204,626.4942,356.2959,309.2221,330.2802
Cer(d22:6/22:5)+C2H3O2,716.5259,656.5048,624.4785,354.2803,309.2221,328.2646
Cer(d22:6/22:6)+C2H3O2,714.5102,654.4891,650.5881,352.2646,309.2221,326.2489
Cer(d22:6/23:0)+C2H3O2,740.6198,680.5987,664.6037,378.3742,309.2221,352.3585
Cer(d22:6/24:0)+C2H3O2,754.6354,694.6143,662.5881,392.3898,309.2221,366.3741
Cer(d22:6/24:1)+C2H3O2,752.6198,692.5987,678.6194,390.3742,309.2221,364.3585
Cer(d22:6/25:0)+C2H3O2,768.6511,708.63,692.635,406.4055,309.2221,380.3898
Cer(d22:6/26:0)+C2H3O2,782.6667,722.6456,440.3533,420.4211,309.2221,394.4054
Cer(d22:6/8:0)+C2H3O2,530.385,470.3639,494.4942,168.1394,309.2221,142.1237
Cer(d23:0/10:0)+C2H3O2,584.5259,524.5048,522.5255,196.1707,335.3317,170.155
Cer(d23:0/12:0)+C2H3O2,612.5572,552.5361,536.5412,224.202,335.3317,198.1863
Cer(d23:0/13:0)+C2H3O2,626.5729,566.5518,550.5568,238.2177,335.3317,212.202
Cer(d23:0/14:0)+C2H3O2,640.5885,580.5674,548.5412,252.2333,335.3317,226.2176
Cer(d23:0/14:1)+C2H3O2,638.5729,578.5518,564.5725,250.2177,335.3317,224.202
Cer(d23:0/15:0)+C2H3O2,654.6042,594.5831,562.5568,266.249,335.3317,240.2333
Cer(d23:0/15:1)+C2H3O2,652.5885,592.5674,578.5881,264.2333,335.3317,238.2176
Cer(d23:0/16:0)+C2H3O2,668.6198,608.5987,576.5725,280.2646,335.3317,254.2489
Cer(d23:0/16:1)+C2H3O2,666.6042,606.5831,592.6038,278.249,335.3317,252.2333
Cer(d23:0/17:0)+C2H3O2,682.6355,622.6144,590.5881,294.2803,335.3317,268.2646
Cer(d23:0/17:1)+C2H3O2,680.6198,620.5987,588.5725,292.2646,335.3317,266.2489
Cer(d23:0/17:2)+C2H3O2,678.6042,618.5831,606.6194,290.249,335.3317,264.2333
Cer(d23:0/18:0)+C2H3O2,696.6511,636.63,604.6038,308.2959,335.3317,282.2802
Cer(d23:0/18:1)+C2H3O2,694.6355,634.6144,602.5881,306.2803,335.3317,280.2646
Cer(d23:0/18:2)+C2H3O2,692.6198,632.5987,600.5725,304.2646,335.3317,278.2489
Cer(d23:0/18:3)+C2H3O2,690.6042,630.5831,598.5568,302.249,335.3317,276.2333
Cer(d23:0/18:4)+C2H3O2,688.5885,628.5674,620.6351,300.2333,335.3317,274.2176
Cer(d23:0/19:0)+C2H3O2,710.6668,650.6457,634.6507,322.3116,335.3317,296.2959
Cer(d23:0/20:0)+C2H3O2,724.6824,664.6613,632.6351,336.3272,335.3317,310.3115
Cer(d23:0/20:1)+C2H3O2,722.6668,662.6457,630.6194,334.3116,335.3317,308.2959
Cer(d23:0/20:2)+C2H3O2,720.6511,660.63,628.6038,332.2959,335.3317,306.2802
Cer(d23:0/20:3)+C2H3O2,718.6355,658.6144,626.5881,330.2803,335.3317,304.2646
Cer(d23:0/20:4)+C2H3O2,716.6198,656.5987,624.5725,328.2646,335.3317,302.2489
Cer(d23:0/20:5)+C2H3O2,714.6042,654.5831,648.6664,326.249,335.3317,300.2333
Cer(d23:0/21:0)+C2H3O2,738.6981,678.677,662.682,350.3429,335.3317,324.3272
Cer(d23:0/22:0)+C2H3O2,752.7137,692.6926,660.6664,364.3585,335.3317,338.3428
Cer(d23:0/22:1)+C2H3O2,750.6981,690.677,658.6507,362.3429,335.3317,336.3272
Cer(d23:0/22:2)+C2H3O2,748.6824,688.6613,656.6351,360.3272,335.3317,334.3115
Cer(d23:0/22:3)+C2H3O2,746.6668,686.6457,654.6194,358.3116,335.3317,332.2959
Cer(d23:0/22:4)+C2H3O2,744.6511,684.63,652.6038,356.2959,335.3317,330.2802
Cer(d23:0/22:5)+C2H3O2,742.6355,682.6144,650.5881,354.2803,335.3317,328.2646
Cer(d23:0/22:6)+C2H3O2,740.6198,680.5987,676.6977,352.2646,335.3317,326.2489
Cer(d23:0/23:0)+C2H3O2,766.7294,706.7083,690.7133,378.3742,335.3317,352.3585
Cer(d23:0/24:0)+C2H3O2,780.745,720.7239,688.6977,392.3898,335.3317,366.3741
Cer(d23:0/24:1)+C2H3O2,778.7294,718.7083,704.729,390.3742,335.3317,364.3585
Cer(d23:0/25:0)+C2H3O2,794.7607,734.7396,718.7446,406.4055,335.3317,380.3898
Cer(d23:0/26:0)+C2H3O2,808.7763,748.7552,466.4629,420.4211,335.3317,394.4054
Cer(d23:0/8:0)+C2H3O2,556.4946,496.4735,508.5098,168.1394,335.3317,142.1237
Cer(d24:0/10:0)+C2H3O2,598.5415,538.5204,536.5411,196.1707,349.3473,170.155
Cer(d24:0/12:0)+C2H3O2,626.5728,566.5517,550.5568,224.202,349.3473,198.1863
Cer(d24:0/13:0)+C2H3O2,640.5885,580.5674,564.5724,238.2177,349.3473,212.202
Cer(d24:0/14:0)+C2H3O2,654.6041,594.583,562.5568,252.2333,349.3473,226.2176
Cer(d24:0/14:1)+C2H3O2,652.5885,592.5674,578.5881,250.2177,349.3473,224.202
Cer(d24:0/15:0)+C2H3O2,668.6198,608.5987,576.5724,266.249,349.3473,240.2333
Cer(d24:0/15:1)+C2H3O2,666.6041,606.583,592.6037,264.2333,349.3473,238.2176
Cer(d24:0/16:0)+C2H3O2,682.6354,622.6143,590.5881,280.2646,349.3473,254.2489
Cer(d24:0/16:1)+C2H3O2,680.6198,620.5987,606.6194,278.249,349.3473,252.2333
Cer(d24:0/17:0)+C2H3O2,696.6511,636.63,604.6037,294.2803,349.3473,268.2646
Cer(d24:0/17:1)+C2H3O2,694.6354,634.6143,602.5881,292.2646,349.3473,266.2489
Cer(d24:0/17:2)+C2H3O2,692.6198,632.5987,620.635,290.249,349.3473,264.2333
Cer(d24:0/18:0)+C2H3O2,710.6667,650.6456,618.6194,308.2959,349.3473,282.2802
Cer(d24:0/18:1)+C2H3O2,708.6511,648.63,616.6037,306.2803,349.3473,280.2646
Cer(d24:0/18:2)+C2H3O2,706.6354,646.6143,614.5881,304.2646,349.3473,278.2489
Cer(d24:0/18:3)+C2H3O2,704.6198,644.5987,612.5724,302.249,349.3473,276.2333
Cer(d24:0/18:4)+C2H3O2,702.6041,642.583,634.6507,300.2333,349.3473,274.2176
Cer(d24:0/19:0)+C2H3O2,724.6824,664.6613,648.6663,322.3116,349.3473,296.2959
Cer(d24:0/20:0)+C2H3O2,738.698,678.6769,646.6507,336.3272,349.3473,310.3115
Cer(d24:0/20:1)+C2H3O2,736.6824,676.6613,644.635,334.3116,349.3473,308.2959
Cer(d24:0/20:2)+C2H3O2,734.6667,674.6456,642.6194,332.2959,349.3473,306.2802
Cer(d24:0/20:3)+C2H3O2,732.6511,672.63,640.6037,330.2803,349.3473,304.2646
Cer(d24:0/20:4)+C2H3O2,730.6354,670.6143,638.5881,328.2646,349.3473,302.2489
Cer(d24:0/20:5)+C2H3O2,728.6198,668.5987,662.682,326.249,349.3473,300.2333
Cer(d24:0/21:0)+C2H3O2,752.7137,692.6926,676.6976,350.3429,349.3473,324.3272
