OxLPC,[M+C2H3O2]-,NL_CH3&C2H3O2,NL_choline&C2H3O2,NL_R1CO&CH3&C2H3O2,NL_R1COOH&CH3&HCO2,Phosphocholine_NL_CH3,Glycerol-3-phosphate_NL_H2O,R1COO-,H2PO4-,PO3-
OxLPC(15:3(CHO))+C2H3O2,548.263085,474.226285,403.152785,242.0799,224.0693,168.0431,152.9958,249.14964,96.9696,78.9591
OxLPC(15:4(CHO))+C2H3O2,546.247435,472.210635,401.137135,242.0799,224.0693,168.0431,152.9958,247.13399,96.9696,78.9591
OxLPC(16:1(CHO))+C2H3O2,566.310035,492.273235,421.199735,242.0799,224.0693,168.0431,152.9958,267.19659,96.9696,78.9591
OxLPC(16:2(CHO))+C2H3O2,564.294385,490.257585,419.184085,242.0799,224.0693,168.0431,152.9958,265.18094,96.9696,78.9591
OxLPC(16:3(CHO))+C2H3O2,562.278735,488.241935,417.168435,242.0799,224.0693,168.0431,152.9958,263.16529,96.9696,78.9591
OxLPC(16:4(CHO))+C2H3O2,560.263085,486.226285,415.152785,242.0799,224.0693,168.0431,152.9958,261.14964,96.9696,78.9591
OxLPC(17:4(CHO))+C2H3O2,574.278735,500.241935,429.168435,242.0799,224.0693,168.0431,152.9958,275.16529,96.9696,78.9591
OxLPC(18:4(CHO))+C2H3O2,588.294385,514.257585,443.184085,242.0799,224.0693,168.0431,152.9958,289.18094,96.9696,78.9591
OxLPC(18:5(CHO))+C2H3O2,586.278735,512.241935,441.168435,242.0799,224.0693,168.0431,152.9958,287.16529,96.9696,78.9591
OxLPC(19:4(CHO))+C2H3O2,602.310035,528.273235,457.199735,242.0799,224.0693,168.0431,152.9958,303.19659,96.9696,78.9591
OxLPC(19:5(CHO))+C2H3O2,600.294385,526.257585,455.184085,242.0799,224.0693,168.0431,152.9958,301.18094,96.9696,78.9591
OxLPC(3:0(COOH))+C2H3O2,402.117145,328.080345,257.006845,242.0799,224.0693,168.0431,152.9958,103.0037,96.9696,78.9591
OxLPC(4:0(COOH))+C2H3O2,416.132795,342.095995,271.022495,242.0799,224.0693,168.0431,152.9958,117.01935,96.9696,78.9591
OxLPC(5:0(COOH))+C2H3O2,430.148445,356.111645,285.038145,242.0799,224.0693,168.0431,152.9958,131.035,96.9696,78.9591
OxLPC(6:0(COOH))+C2H3O2,444.164095,370.127295,299.053795,242.0799,224.0693,168.0431,152.9958,145.05065,96.9696,78.9591
OxLPC(7:0(COOH))+C2H3O2,458.179745,384.142945,313.069445,242.0799,224.0693,168.0431,152.9958,159.0663,96.9696,78.9591
OxLPC(8:0(COOH))+C2H3O2,472.195395,398.158595,327.085095,242.0799,224.0693,168.0431,152.9958,173.08195,96.9696,78.9591
OxLPC(9:0(COOH))+C2H3O2,486.211045,412.174245,341.100745,242.0799,224.0693,168.0431,152.9958,187.0976,96.9696,78.9591
OxLPC(10:0(COOH))+C2H3O2,500.226695,426.189895,355.116395,242.0799,224.0693,168.0431,152.9958,201.11325,96.9696,78.9591
OxLPC(11:0(COOH))+C2H3O2,514.242345,440.205545,369.132045,242.0799,224.0693,168.0431,152.9958,215.1289,96.9696,78.9591
OxLPC(12:0(COOH))+C2H3O2,528.257995,454.221195,383.147695,242.0799,224.0693,168.0431,152.9958,229.14455,96.9696,78.9591
OxLPC(13:0(COOH))+C2H3O2,542.273645,468.236845,397.163345,242.0799,224.0693,168.0431,152.9958,243.1602,96.9696,78.9591
OxLPC(14:0(COOH))+C2H3O2,556.289295,482.252495,411.178995,242.0799,224.0693,168.0431,152.9958,257.17585,96.9696,78.9591
OxLPC(15:0(COOH))+C2H3O2,570.304945,496.268145,425.194645,242.0799,224.0693,168.0431,152.9958,271.1915,96.9696,78.9591
OxLPC(6:1(COOH))+C2H3O2,442.148455,368.111655,297.038155,242.0799,224.0693,168.0431,152.9958,143.03501,96.9696,78.9591
OxLPC(7:1(COOH))+C2H3O2,456.164105,382.127305,311.053805,242.0799,224.0693,168.0431,152.9958,157.05066,96.9696,78.9591
OxLPC(8:1(COOH))+C2H3O2,470.179755,396.142955,325.069455,242.0799,224.0693,168.0431,152.9958,171.06631,96.9696,78.9591
OxLPC(9:1(COOH))+C2H3O2,484.195405,410.158605,339.085105,242.0799,224.0693,168.0431,152.9958,185.08196,96.9696,78.9591
OxLPC(9:2(COOH))+C2H3O2,482.179755,408.142955,337.069455,242.0799,224.0693,168.0431,152.9958,183.06631,96.9696,78.9591
OxLPC(10:1(COOH))+C2H3O2,498.211055,424.174255,353.100755,242.0799,224.0693,168.0431,152.9958,199.09761,96.9696,78.9591
OxLPC(10:2(COOH))+C2H3O2,496.195405,422.158605,351.085105,242.0799,224.0693,168.0431,152.9958,197.08196,96.9696,78.9591
OxLPC(11:1(COOH))+C2H3O2,512.226705,438.189905,367.116405,242.0799,224.0693,168.0431,152.9958,213.11326,96.9696,78.9591
OxLPC(11:2(COOH))+C2H3O2,510.211055,436.174255,365.100755,242.0799,224.0693,168.0431,152.9958,211.09761,96.9696,78.9591
OxLPC(12:1(COOH))+C2H3O2,526.242355,452.205555,381.132055,242.0799,224.0693,168.0431,152.9958,227.12891,96.9696,78.9591
OxLPC(12:2(COOH))+C2H3O2,524.226705,450.189905,379.116405,242.0799,224.0693,168.0431,152.9958,225.11326,96.9696,78.9591
OxLPC(12:3(COOH))+C2H3O2,522.211055,448.174255,377.100755,242.0799,224.0693,168.0431,152.9958,223.09761,96.9696,78.9591
OxLPC(13:1(COOH))+C2H3O2,540.258005,466.221205,395.147705,242.0799,224.0693,168.0431,152.9958,241.14456,96.9696,78.9591
OxLPC(13:2(COOH))+C2H3O2,538.242355,464.205555,393.132055,242.0799,224.0693,168.0431,152.9958,239.12891,96.9696,78.9591
OxLPC(13:3(COOH))+C2H3O2,536.226705,462.189905,391.116405,242.0799,224.0693,168.0431,152.9958,237.11326,96.9696,78.9591
OxLPC(14:1(COOH))+C2H3O2,554.273655,480.236855,409.163355,242.0799,224.0693,168.0431,152.9958,255.16021,96.9696,78.9591
OxLPC(14:2(COOH))+C2H3O2,552.258005,478.221205,407.147705,242.0799,224.0693,168.0431,152.9958,253.14456,96.9696,78.9591
OxLPC(14:3(COOH))+C2H3O2,550.242355,476.205555,405.132055,242.0799,224.0693,168.0431,152.9958,251.12891,96.9696,78.9591
OxLPC(15:1(COOH))+C2H3O2,568.289305,494.252505,423.179005,242.0799,224.0693,168.0431,152.9958,269.17586,96.9696,78.9591
OxLPC(15:2(COOH))+C2H3O2,566.273655,492.236855,421.163355,242.0799,224.0693,168.0431,152.9958,267.16021,96.9696,78.9591
OxLPC(15:3(COOH))+C2H3O2,564.258005,490.221205,419.147705,242.0799,224.0693,168.0431,152.9958,265.14456,96.9696,78.9591
OxLPC(15:4(COOH))+C2H3O2,562.242355,488.205555,417.132055,242.0799,224.0693,168.0431,152.9958,263.12891,96.9696,78.9591
OxLPC(16:1(COOH))+C2H3O2,582.304955,508.268155,437.194655,242.0799,224.0693,168.0431,152.9958,283.19151,96.9696,78.9591
OxLPC(16:2(COOH))+C2H3O2,580.289305,506.252505,435.179005,242.0799,224.0693,168.0431,152.9958,281.17586,96.9696,78.9591
OxLPC(16:3(COOH))+C2H3O2,578.273655,504.236855,433.163355,242.0799,224.0693,168.0431,152.9958,279.16021,96.9696,78.9591
OxLPC(16:4(COOH))+C2H3O2,576.258005,502.221205,431.147705,242.0799,224.0693,168.0431,152.9958,277.14456,96.9696,78.9591
OxLPC(17:4(COOH))+C2H3O2,590.273655,516.236855,445.163355,242.0799,224.0693,168.0431,152.9958,291.16021,96.9696,78.9591
OxLPC(18:4(COOH))+C2H3O2,604.289305,530.252505,459.179005,242.0799,224.0693,168.0431,152.9958,305.17586,96.9696,78.9591
OxLPC(18:5(COOH))+C2H3O2,602.273655,528.236855,457.163355,242.0799,224.0693,168.0431,152.9958,303.16021,96.9696,78.9591
OxLPC(19:4(COOH))+C2H3O2,618.304955,544.268155,473.194655,242.0799,224.0693,168.0431,152.9958,319.19151,96.9696,78.9591
OxLPC(19:5(COOH))+C2H3O2,616.289305,542.252505,471.179005,242.0799,224.0693,168.0431,152.9958,317.17586,96.9696,78.9591
OxLPC(20:4(Ke))+C2H3O2,616.325675,542.288875,471.215375,242.0799,224.0693,168.0431,152.9958,317.21223,96.9696,78.9591
OxLPC(20:4(OOH))+C2H3O2,634.336255,560.299455,489.225955,242.0799,224.0693,168.0431,152.9958,335.22281,96.9696,78.9591
OxLPC(20:4(OH))+C2H3O2,618.341335,544.304535,473.231035,242.0799,224.0693,168.0431,152.9958,319.22789,96.9696,78.9591
OxLPC(18:2(OOH))+C2H3O2,610.336255,536.299455,465.225955,242.0799,224.0693,168.0431,152.9958,311.22281,96.9696,78.9591
OxLPC(18:2(OH))+C2H3O2,594.341335,520.304535,449.231035,242.0799,224.0693,168.0431,152.9958,295.22789,96.9696,78.9591
OxLPC(14:1(OH))+C2H3O2,540.294415,466.257615,395.184115,242.0799,224.0693,168.0431,152.9958,241.18097,96.9696,78.9591
OxLPC(15:1(OH))+C2H3O2,554.310015,480.273215,409.199715,242.0799,224.0693,168.0431,152.9958,255.19657,96.9696,78.9591
OxLPC(16:1(OH))+C2H3O2,568.325715,494.288915,423.215415,242.0799,224.0693,168.0431,152.9958,269.21227,96.9696,78.9591
OxLPC(17:1(OH))+C2H3O2,582.341315,508.304515,437.231015,242.0799,224.0693,168.0431,152.9958,283.22787,96.9696,78.9591
OxLPC(17:2(OH))+C2H3O2,580.325715,506.288915,435.215415,242.0799,224.0693,168.0431,152.9958,281.21227,96.9696,78.9591
OxLPC(18:1(OH))+C2H3O2,596.357015,522.320215,451.246715,242.0799,224.0693,168.0431,152.9958,297.24357,96.9696,78.9591
OxLPC(18:3(OH))+C2H3O2,592.325715,518.288915,447.215415,242.0799,224.0693,168.0431,152.9958,293.21227,96.9696,78.9591
OxLPC(18:4(OH))+C2H3O2,590.310015,516.273215,445.199715,242.0799,224.0693,168.0431,152.9958,291.19657,96.9696,78.9591
OxLPC(20:1(OH))+C2H3O2,624.388315,550.351515,479.278015,242.0799,224.0693,168.0431,152.9958,325.27487,96.9696,78.9591
OxLPC(20:2(OH))+C2H3O2,622.372615,548.335815,477.262315,242.0799,224.0693,168.0431,152.9958,323.25917,96.9696,78.9591
OxLPC(20:3(OH))+C2H3O2,620.357015,546.320215,475.246715,242.0799,224.0693,168.0431,152.9958,321.24357,96.9696,78.9591
OxLPC(20:5(OH))+C2H3O2,616.325715,542.288915,471.215415,242.0799,224.0693,168.0431,152.9958,317.21227,96.9696,78.9591
