OxLPC,[M+C2H3O2]-,NL_CH3&C2H3O2,NL_choline&C2H3O2,NL_R1CO&CH3&C2H3O2,NL_R1COOH&CH3&HCO2,Phosphocholine_NL_CH3,Glycerol-3-phosphate_NL_H2O,R1COO-,H2PO4-,PO3-
OxLPC(20:5(Ke))+C2H3O2,614.310055,540.273255,469.199755,242.0799,224.0693,168.0431,152.9958,315.19661,96.9696,78.9591
OxLPC(22:1(Ke))+C2H3O2,650.403955,576.367155,505.293655,242.0799,224.0693,168.0431,152.9958,351.29051,96.9696,78.9591
OxLPC(22:2(Ke))+C2H3O2,648.388255,574.351455,503.277955,242.0799,224.0693,168.0431,152.9958,349.27481,96.9696,78.9591
OxLPC(22:3(Ke))+C2H3O2,646.372655,572.335855,501.262355,242.0799,224.0693,168.0431,152.9958,347.25921,96.9696,78.9591
OxLPC(22:4(Ke))+C2H3O2,644.356955,570.320155,499.246655,242.0799,224.0693,168.0431,152.9958,345.24351,96.9696,78.9591
OxLPC(22:5(Ke))+C2H3O2,642.341355,568.304555,497.231055,242.0799,224.0693,168.0431,152.9958,343.22791,96.9696,78.9591
OxLPC(22:6(Ke))+C2H3O2,640.325655,566.288855,495.215355,242.0799,224.0693,168.0431,152.9958,341.21221,96.9696,78.9591
OxLPC(24:1(Ke))+C2H3O2,678.435255,604.398455,533.324955,242.0799,224.0693,168.0431,152.9958,379.32181,96.9696,78.9591
"OxLPC(14:1(Ke,OH))+C2H3O2",554.273675,480.236875,409.163375,242.0799,224.0693,168.0431,152.9958,255.16023,96.9696,78.9591
"OxLPC(15:1(Ke,OH))+C2H3O2",568.289275,494.252475,423.178975,242.0799,224.0693,168.0431,152.9958,269.17583,96.9696,78.9591
"OxLPC(16:1(Ke,OH))+C2H3O2",582.304975,508.268175,437.194675,242.0799,224.0693,168.0431,152.9958,283.19153,96.9696,78.9591
"OxLPC(17:1(Ke,OH))+C2H3O2",596.320575,522.283775,451.210275,242.0799,224.0693,168.0431,152.9958,297.20713,96.9696,78.9591
"OxLPC(17:2(Ke,OH))+C2H3O2",594.304975,520.268175,449.194675,242.0799,224.0693,168.0431,152.9958,295.19153,96.9696,78.9591
"OxLPC(18:1(Ke,OH))+C2H3O2",610.336275,536.299475,465.225975,242.0799,224.0693,168.0431,152.9958,311.22283,96.9696,78.9591
"OxLPC(18:2(Ke,OH))+C2H3O2",608.320575,534.283775,463.210275,242.0799,224.0693,168.0431,152.9958,309.20713,96.9696,78.9591
"OxLPC(18:3(Ke,OH))+C2H3O2",606.304975,532.268175,461.194675,242.0799,224.0693,168.0431,152.9958,307.19153,96.9696,78.9591
"OxLPC(18:4(Ke,OH))+C2H3O2",604.289275,530.252475,459.178975,242.0799,224.0693,168.0431,152.9958,305.17583,96.9696,78.9591
"OxLPC(20:1(Ke,OH))+C2H3O2",638.367575,564.330775,493.257275,242.0799,224.0693,168.0431,152.9958,339.25413,96.9696,78.9591
"OxLPC(20:2(Ke,OH))+C2H3O2",636.351875,562.315075,491.241575,242.0799,224.0693,168.0431,152.9958,337.23843,96.9696,78.9591
"OxLPC(20:3(Ke,OH))+C2H3O2",634.336275,560.299475,489.225975,242.0799,224.0693,168.0431,152.9958,335.22283,96.9696,78.9591
"OxLPC(20:4(Ke,OH))+C2H3O2",632.320575,558.283775,487.210275,242.0799,224.0693,168.0431,152.9958,333.20713,96.9696,78.9591
"OxLPC(20:5(Ke,OH))+C2H3O2",630.304975,556.268175,485.194675,242.0799,224.0693,168.0431,152.9958,331.19153,96.9696,78.9591
"OxLPC(22:1(Ke,OH))+C2H3O2",666.398875,592.362075,521.288575,242.0799,224.0693,168.0431,152.9958,367.28543,96.9696,78.9591
"OxLPC(22:2(Ke,OH))+C2H3O2",664.383175,590.346375,519.272875,242.0799,224.0693,168.0431,152.9958,365.26973,96.9696,78.9591
"OxLPC(22:3(Ke,OH))+C2H3O2",662.367575,588.330775,517.257275,242.0799,224.0693,168.0431,152.9958,363.25413,96.9696,78.9591
"OxLPC(22:4(Ke,OH))+C2H3O2",660.351875,586.315075,515.241575,242.0799,224.0693,168.0431,152.9958,361.23843,96.9696,78.9591
"OxLPC(22:5(Ke,OH))+C2H3O2",658.336275,584.299475,513.225975,242.0799,224.0693,168.0431,152.9958,359.22283,96.9696,78.9591
"OxLPC(22:6(Ke,OH))+C2H3O2",656.320575,582.283775,511.210275,242.0799,224.0693,168.0431,152.9958,357.20713,96.9696,78.9591
"OxLPC(24:1(Ke,OH))+C2H3O2",694.430175,620.393375,549.319875,242.0799,224.0693,168.0431,152.9958,395.31673,96.9696,78.9591
