SM,[M+C2H3O2]-,M-CH3,(P-Cho)-CH3-H
SM(40:7)+HCO2,833.5815,759.54,168.0431
SM(40:8)+HCO2,831.5658,757.5243,168.0431
SM(40:9)+HCO2,829.5502,755.5087,168.0431
SM(41:0)+HCO2,861.7067,787.6652,168.0431
SM(41:1)+HCO2,859.691,785.6495,168.0431
SM(41:2)+HCO2,857.6754,783.6339,168.0431
SM(41:3)+HCO2,855.6598,781.6183,168.0431
SM(41:4)+HCO2,853.6441,779.6026,168.0431
SM(41:5)+HCO2,851.6285,777.587,168.0431
SM(41:6)+HCO2,849.6128,775.5713,168.0431
SM(42:0)+HCO2,875.7223,801.6808,168.0431
SM(42:1)+HCO2,873.7067,799.6652,168.0431
SM(42:10)+HCO2,855.5658,781.5243,168.0431
SM(42:11)+HCO2,853.5502,779.5087,168.0431
SM(42:2)+HCO2,871.6911,797.6496,168.0431
SM(42:3)+HCO2,869.6754,795.6339,168.0431
SM(42:4)+HCO2,867.6598,793.6183,168.0431
SM(42:5)+HCO2,865.6441,791.6026,168.0431
SM(42:6)+HCO2,863.6284,789.5869,168.0431
SM(42:7)+HCO2,861.6128,787.5713,168.0431
SM(42:8)+HCO2,859.5971,785.5556,168.0431
SM(42:9)+HCO2,857.5815,783.54,168.0431
SM(43:0)+HCO2,889.738,815.6965,168.0431
SM(43:1)+HCO2,887.7223,813.6808,168.0431
SM(43:2)+HCO2,885.7067,811.6652,168.0431
SM(43:3)+HCO2,883.6911,809.6496,168.0431
SM(43:4)+HCO2,881.6754,807.6339,168.0431
SM(43:5)+HCO2,879.6598,805.6183,168.0431
SM(43:6)+HCO2,877.6441,803.6026,168.0431
SM(44:0)+HCO2,903.7536,829.7121,168.0431
SM(44:1)+HCO2,901.738,827.6965,168.0431
SM(44:10)+HCO2,883.5971,809.5556,168.0431
SM(44:11)+HCO2,881.5815,807.54,168.0431
SM(44:12)+HCO2,879.5658,805.5243,168.0431
SM(44:2)+HCO2,899.7223,825.6808,168.0431
SM(44:3)+HCO2,897.7067,823.6652,168.0431
SM(44:4)+HCO2,895.691,821.6495,168.0431
SM(44:5)+HCO2,893.6754,819.6339,168.0431
SM(44:6)+HCO2,891.6598,817.6183,168.0431
SM(44:7)+HCO2,889.6441,815.6026,168.0431
SM(44:8)+HCO2,887.6284,813.5869,168.0431
SM(44:9)+HCO2,885.6128,811.5713,168.0431
SM(45:0)+HCO2,917.7693,843.7278,168.0431
SM(45:1)+HCO2,915.7537,841.7122,168.0431
SM(45:2)+HCO2,913.738,839.6965,168.0431
SM(45:3)+HCO2,911.7224,837.6809,168.0431
SM(45:4)+HCO2,909.7067,835.6652,168.0431
SM(45:5)+HCO2,907.6911,833.6496,168.0431
SM(45:6)+HCO2,905.6754,831.6339,168.0431
SM(46:0)+HCO2,931.7849,857.7434,168.0431
SM(46:1)+HCO2,929.7693,855.7278,168.0431
SM(46:2)+HCO2,927.7536,853.7121,168.0431
SM(46:3)+HCO2,925.738,851.6965,168.0431
SM(46:4)+HCO2,923.7223,849.6808,168.0431
SM(46:5)+HCO2,921.7067,847.6652,168.0431
SM(46:6)+HCO2,919.6911,845.6496,168.0431
SM(46:7)+HCO2,917.6754,843.6339,168.0431
SM(47:0)+HCO2,945.8006,871.7591,168.0431
